DATE,CPIAUCSL_NBD20190101
1966-04-01,12.77313
1966-05-01,12.80083
1966-06-01,12.81270
1966-07-01,12.84040
1966-08-01,12.91954
1966-09-01,12.95911
1966-10-01,12.99868
1966-11-01,13.01055
1966-12-01,13.02638
1967-01-01,13.01846
1967-02-01,13.05803
1967-03-01,13.05803
1967-04-01,13.09760
1967-05-01,13.09760
1967-06-01,13.17674
1967-07-01,13.21631
1967-08-01,13.25588
1967-09-01,13.29545
1967-10-01,13.33502
1967-11-01,13.41416
1967-12-01,13.45373
1968-01-01,13.49330
1968-02-01,13.53287
1968-03-01,13.57244
1968-04-01,13.61201
1968-05-01,13.65158
1968-06-01,13.73072
1968-07-01,13.80986
1968-08-01,13.84943
1968-09-01,13.88900
1968-10-01,13.96814
1968-11-01,14.00771
1968-12-01,14.08685
1969-01-01,14.12642
1969-02-01,14.16599
1969-03-01,14.28470
1969-04-01,14.36384
1969-05-01,14.40341
1969-06-01,14.48255
1969-07-01,14.56169
1969-08-01,14.60126
1969-09-01,14.68039
1969-10-01,14.75953
1969-11-01,14.83867
1969-12-01,14.91781
1970-01-01,14.99695
1970-02-01,15.07609
1970-03-01,15.15523
1970-04-01,15.23437
1970-05-01,15.27394
1970-06-01,15.35308
1970-07-01,15.39265
1970-08-01,15.43222
1970-09-01,15.51136
1970-10-01,15.59050
1970-11-01,15.66964
1970-12-01,15.74878
1971-01-01,15.78835
1971-02-01,15.78835
1971-03-01,15.82792
1971-04-01,15.86749
1971-05-01,15.94663
1971-06-01,16.02577
1971-07-01,16.06534
1971-08-01,16.10491
1971-09-01,16.14448
1971-10-01,16.18405
1971-11-01,16.22362
1971-12-01,16.26319
1972-01-01,16.30276
1972-02-01,16.38190
1972-03-01,16.38190
1972-04-01,16.42147
1972-05-01,16.46104
1972-06-01,16.50061
1972-07-01,16.54018
1972-08-01,16.57975
1972-09-01,16.65888
1972-10-01,16.69845
1972-11-01,16.77759
1972-12-01,16.81716
1973-01-01,16.89630
1973-02-01,17.01501
1973-03-01,17.17329
1973-04-01,17.29200
1973-05-01,17.37114
1973-06-01,17.48985
1973-07-01,17.48985
1973-08-01,17.80641
1973-09-01,17.88555
1973-10-01,18.04383
1973-11-01,18.16254
1973-12-01,18.32082
1974-01-01,18.51867
1974-02-01,18.71651
1974-03-01,18.91436
1974-04-01,19.03307
1974-05-01,19.23092
1974-06-01,19.38920
1974-07-01,19.50791
1974-08-01,19.74533
1974-09-01,20.02232
1974-10-01,20.18060
